,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,EstimatedSalary,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited,AgeGroup,CustomerType,CreditScoreCategory,BalanceCategory,CustomerSegment
0,15634602,Hargrave,619,France,Female,42,2,101348.88,0.0,1,1,1,1,Mid-Life Adult (31-50),Short Term,Medium,Low Balance,Medium | Low Balance | Mid-Life Adult (31-50) | Short Term
1,15634602,Hargrave,619,France,Female,42,2,101348.88,0.0,1,1,1,1,Mid-Life Adult (31-50),Short Term,Medium,Low Balance,Medium | Low Balance | Mid-Life Adult (31-50) | Short Term
2,15647311,Hill,608,Spain,Female,41,1,112542.58,83808.0,1,1,1,0,Mid-Life Adult (31-50),Short Term,Medium,Low Balance,Medium | Low Balance | Mid-Life Adult (31-50) | Short Term
3,15619304,Onio,502,French,Female,42,8,113931.57,159661.0,3,0,0,1,Mid-Life Adult (31-50),Long Term,Low,High Balance,Low | High Balance | Mid-Life Adult (31-50) | Long Term
4,15701354,Boni,699,France,Female,39,1,93826.63,0.0,2,0,0,0,Mid-Life Adult (31-50),Short Term,Medium,Low Balance,Medium | Low Balance | Mid-Life Adult (31-50) | Short Term
5,15737888,Mitchell,850,Spain,Female,43,2,79084.1,125511.0,1,1,1,0,Mid-Life Adult (31-50),Short Term,High,High Balance,High | High Balance | Mid-Life Adult (31-50) | Short Term
6,15574012,Chu,645,Spain,Male,44,8,149756.71,113756.0,2,0,0,1,Mid-Life Adult (31-50),Long Term,Medium,High Balance,Medium | High Balance | Mid-Life Adult (31-50) | Long Term
7,15592531,Bartlett,822,France,Male,50,7,10062.8,0.0,2,1,1,0,Mid-Life Adult (31-50),Long Term,High,Low Balance,High | Low Balance | Mid-Life Adult (31-50) | Long Term
8,15656148,Obinna,376,Germany,Female,29,4,119346.88,115047.0,4,0,0,1,Young Adult (18-30),Long Term,Low,High Balance,Low | High Balance | Young Adult (18-30) | Long Term
9,15792365,He,501,French,Male,44,4,74940.5,142051.0,2,1,1,0,Mid-Life Adult (31-50),Long Term,Low,High Balance,Low | High Balance | Mid-Life Adult (31-50) | Long Term
10,15592389,H?,684,France,Male,27,2,71725.73,134604.0,1,1,1,0,Young Adult (18-30),Short Term,Medium,High Balance,Medium | High Balance | Young Adult (18-30) | Short Term
11,15767821,Bearce,528,French,Male,31,6,80181.12,102017.0,2,0,0,0,Mid-Life Adult (31-50),Long Term,Low,High Balance,Low | High Balance | Mid-Life Adult (31-50) | Long Term
12,15737173,Andrews,497,Spain,Male,24,3,76390.01,0.0,2,0,0,0,Young Adult (18-30),Short Term,Low,Low Balance,Low | Low Balance | Young Adult (18-30) | Short Term
13,15632264,Kay,476,France,Female,34,10,26260.98,0.0,2,0,0,0,Mid-Life Adult (31-50),Long Term,Low,Low Balance,Low | Low Balance | Mid-Life Adult (31-50) | Long Term
14,15691483,Chin,549,France,Female,25,5,190857.79,0.0,2,0,0,0,Young Adult (18-30),Long Term,Low,Low Balance,Low | Low Balance | Young Adult (18-30) | Long Term
15,15600882,Scott,635,Spain,Female,35,7,65951.65,0.0,2,1,1,0,Mid-Life Adult (31-50),Long Term,Medium,Low Balance,Medium | Low Balance | Mid-Life Adult (31-50) | Long Term
16,15643966,Goforth,616,Germany,Male,45,3,64327.26,143129.0,2,1,1,0,Mid-Life Adult (31-50),Short Term,Medium,High Balance,Medium | High Balance | Mid-Life Adult (31-50) | Short Term
17,15737452,Romeo,653,Germany,Male,58,1,5097.67,132603.0,1,0,0,1,Older Adult (51+),Short Term,Medium,High Balance,Medium | High Balance | Older Adult (51+) | Short Term
18,15788218,Henderson,549,Spain,Female,24,9,14406.41,0.0,2,1,1,0,Young Adult (18-30),Long Term,Low,Low Balance,Low | Low Balance | Young Adult (18-30) | Long Term
19,15661507,Muldrow,587,Spain,Male,45,6,158684.81,0.0,1,0,0,0,Mid-Life Adult (31-50),Long Term,Low,Low Balance,Low | Low Balance | Mid-Life Adult (31-50) | Long Term
20,15568982,Hao,726,French,Female,24,6,54724.03,0.0,2,1,1,0,Young Adult (18-30),Long Term,High,Low Balance,High | Low Balance | Young Adult (18-30) | Long Term
21,15577657,McDonald,732,French,Male,41,8,170886.17,0.0,2,1,1,0,Mid-Life Adult (31-50),Long Term,High,Low Balance,High | Low Balance | Mid-Life Adult (31-50) | Long Term
22,15597945,Dellucci,636,Spain,Female,32,8,138555.46,0.0,2,0,0,0,Mid-Life Adult (31-50),Long Term,Medium,Low Balance,Medium | Low Balance | Mid-Life Adult (31-50) | Long Term
23,15699309,Gerasimov,510,Spain,Female,38,4,118913.53,0.0,1,0,0,1,Mid-Life Adult (31-50),Long Term,Low,Low Balance,Low | Low Balance | Mid-Life Adult (31-50) | Long Term
24,15725737,Mosman,669,France,Male,46,3,8487.75,0.0,2,1,1,0,Mid-Life Adult (31-50),Short Term,Medium,Low Balance,Medium | Low Balance | Mid-Life Adult (31-50) | Short Term
25,15625047,Yen,846,France,Female,38,5,187616.16,0.0,1,1,1,0,Mid-Life Adult (31-50),Long Term,High,Low Balance,High | Low Balance | Mid-Life Adult (31-50) | Long Term
26,15738191,Maclean,577,France,Male,25,3,124508.29,0.0,2,1,1,0,Young Adult (18-30),Short Term,Low,Low Balance,Low | Low Balance | Young Adult (18-30) | Short Term
27,15736816,Young,756,Germany,Male,36,2,170041.95,136816.0,1,1,1,0,Mid-Life Adult (31-50),Short Term,High,High Balance,High | High Balance | Mid-Life Adult (31-50) | Short Term
28,15700772,Nebechi,571,France,Male,44,9,38433.35,0.0,2,0,0,0,Mid-Life Adult (31-50),Long Term,Low,Low Balance,Low | Low Balance | Mid-Life Adult (31-50) | Long Term
29,15728693,Unknown,574,Germany,Female,37,3,,141349.0,1,1,1,0,Mid-Life Adult (31-50),Short Term,Low,High Balance,Low | High Balance | Mid-Life Adult (31-50) | Short Term
30,15656300,Lucciano,411,French,Male,29,0,53483.21,59697.0,2,1,1,0,Young Adult (18-30),Short Term,Low,Low Balance,Low | Low Balance | Young Adult (18-30) | Short Term
31,15589475,Azikiwe,591,Spain,Female,39,3,140469.38,0.0,3,0,0,1,Mid-Life Adult (31-50),Short Term,Low,Low Balance,Low | Low Balance | Mid-Life Adult (31-50) | Short Term
32,15706552,Odinakachukwu,533,France,Male,36,7,156731.91,85312.0,1,1,1,0,Mid-Life Adult (31-50),Long Term,Low,Low Balance,Low | Low Balance | Mid-Life Adult (31-50) | Long Term
33,15750181,Sanderson,553,Germany,Male,41,9,81898.81,110113.0,2,0,0,0,Mid-Life Adult (31-50),Long Term,Low,High Balance,Low | High Balance | Mid-Life Adult (31-50) | Long Term
34,15659428,Maggard,520,Spain,Female,42,6,34410.55,0.0,2,1,1,0,Mid-Life Adult (31-50),Long Term,Low,Low Balance,Low | Low Balance | Mid-Life Adult (31-50) | Long Term
35,15732963,Clements,722,Spain,Female,29,9,142033.07,0.0,2,1,1,0,Young Adult (18-30),Long Term,High,Low Balance,High | Low Balance | Young Adult (18-30) | Long Term
36,15794171,Lombardo,475,France,Female,45,0,27822.99,134264.0,1,0,0,1,Mid-Life Adult (31-50),Short Term,Low,High Balance,Low | High Balance | Mid-Life Adult (31-50) | Short Term
37,15788448,Watson,490,Spain,Male,31,3,114066.77,145260.0,1,1,1,0,Mid-Life Adult (31-50),Short Term,Low,High Balance,Low | High Balance | Mid-Life Adult (31-50) | Short Term
38,15729599,Lorenzo,804,Spain,Male,33,7,98453.45,76549.0,1,1,1,0,Mid-Life Adult (31-50),Long Term,High,Low Balance,High | Low Balance | Mid-Life Adult (31-50) | Long Term
39,15717426,Armstrong,850,French,Male,36,7,40812.9,0.0,1,1,1,0,Mid-Life Adult (31-50),Long Term,High,Low Balance,High | Low Balance | Mid-Life Adult (31-50) | Long Term
